Periodo,no_registros,no_1er_deposito,total_depositado,no_pers_apostaron,total_apostado,net_revenue,Year,Month,Day
2022-11-03,0.0,0.0,194.5249,1.0,194.5249,160.4830425,2022,11,3
2022-11-04,0.0,0.0,0.0,1.0,44.17412175,6.67520062,2022,11,4
2022-11-05,0.0,0.0,0.0,1.0,27.94059948,-38.26475128,2022,11,5
2022-11-06,0.0,0.0,0.0,1.0,66.08788119,66.08788119,2022,11,6
2022-11-08,0.0,0.0,97.72458,1.0,368.7050583,78.179664,2022,11,8
2022-11-09,0.0,0.0,0.0,1.0,50.9031416,-66.36262078,2022,11,9
2022-11-10,0.0,0.0,0.0,1.0,83.70114048,31.9691856,2022,11,10
2022-11-11,1.0,2.0,2089.0,162.0,11384.0,581.0,2022,11,11
2022-11-12,0.0,0.0,0.0,1.0,132.7286637,24.10080229,2022,11,12
2022-11-13,0.0,0.0,0.0,1.0,75.78181395,14.03366925,2022,11,13
2022-11-16,1.0,2.0,2089.0,162.0,11384.0,581.0,2022,11,16
2022-11-20,0.0,0.0,18.622702,1.0,18.622702,-4.84190252,2022,11,20
2022-11-21,0.0,0.0,0.0,1.0,50.21611481,-32.39307281,2022,11,21
2022-11-22,0.0,0.0,0.0,1.0,247.9016483,36.52576918,2022,11,22
2022-11-23,423.0,143.0,1380.459312,41.0,1566.315544,-1443.883233,2022,11,23
2022-11-24,1324.0,659.0,14503.85902,782.0,46617.38822,-5748.419285,2022,11,24
2022-11-25,112.0,64.0,2093.406886,559.0,18538.05199,3308.869547,2022,11,25
2022-11-26,53.0,54.0,4840.994872,502.0,17486.10851,-2026.837826,2022,11,26
2022-11-27,43.0,37.0,3343.945184,493.0,25492.03946,716.9593082,2022,11,27
2022-11-28,30.0,42.0,5848.122926,598.0,34299.09873,7.527586041,2022,11,28
2022-11-29,14.0,25.0,2913.772029,442.0,27821.04171,-1435.058235,2022,11,29
2022-11-30,17.0,28.0,3008.933024,465.0,29197.09328,965.4274803,2022,11,30
2022-12-01,20.0,24.0,2007.409539,422.0,27792.25754,4149.775367,2022,12,1
2022-12-02,41.0,33.0,6426.183158,510.0,33717.9693,1239.065467,2022,12,2
2022-12-03,18.0,22.0,4666.357108,381.0,19612.87928,1305.30793,2022,12,3
2022-12-04,4.0,9.0,6658.58058,384.0,24657.30655,-1259.019573,2022,12,4
2022-12-05,8.0,20.0,5158.711728,498.0,28727.57387,2048.513217,2022,12,5
2022-12-06,5.0,8.0,2345.092439,392.0,19781.2332,3772.250507,2022,12,6
2022-12-07,3.0,10.0,1529.178199,166.0,16173.02224,616.0977781,2022,12,7
2022-12-08,20.0,11.0,2231.215726,152.0,13032.93302,1262.528443,2022,12,8
2022-12-09,37.0,28.0,5070.701926,501.0,26925.40706,9987.829133,2022,12,9
2022-12-10,31.0,13.0,3234.574507,315.0,11037.8718,-1060.202938,2022,12,10
2022-12-11,17.0,2.0,1049.773847,139.0,8254.00117,409.6174291,2022,12,11
2022-12-12,3.0,4.0,1109.639316,124.0,4591.75876,771.7099253,2022,12,12
2022-12-13,5.0,9.0,2140.713436,290.0,13146.31763,1393.337181,2022,12,13
2022-12-14,5.0,6.0,2370.979976,321.0,10494.41625,1967.144566,2022,12,14
2022-12-15,4.0,2.0,1324.44191,145.0,8226.044681,24.41956848,2022,12,15
2022-12-16,1.0,1.0,2916.328653,134.0,18008.51815,472.6132202,2022,12,16
2022-12-17,11.0,6.0,2217.813731,229.0,10791.23205,1255.827486,2022,12,17
2022-12-18,25.0,14.0,2723.55742,360.0,11888.65885,-80.28152097,2022,12,18
2022-12-19,13.0,4.0,1117.584981,148.0,7181.117725,432.178949,2022,12,19
2022-12-20,11.0,6.0,1939.608419,164.0,10359.63912,278.8554126,2022,12,20
2022-12-21,11.0,10.0,2260.130855,178.0,12367.74592,426.8795119,2022,12,21
2022-12-22,51.0,25.0,2442.631792,197.0,11018.66168,227.882078,2022,12,22
2022-12-23,91.0,54.0,2135.689417,207.0,11600.90813,684.9249743,2022,12,23
2022-12-24,13.0,12.0,1841.169158,161.0,8887.622782,366.206509,2022,12,24
2022-12-25,13.0,8.0,987.2229102,118.0,5809.006868,384.0584594,2022,12,25
2022-12-26,10.0,11.0,2363.03649,188.0,9861.969854,125.1597286,2022,12,26
2022-12-27,5.0,4.0,5524.56829,171.0,17793.83895,565.0656569,2022,12,27
2022-12-28,2.0,4.0,1956.413153,197.0,14068.14498,-648.3065016,2022,12,28
2022-12-29,9.0,5.0,3177.158891,184.0,13011.28774,1146.402257,2022,12,29
2022-12-30,22.0,16.0,2531.062652,208.0,23256.21695,-187.3243117,2022,12,30
2022-12-31,12.0,4.0,1532.639874,185.0,16827.72488,55.44322799,2022,12,31
2023-01-01,21.0,13.0,2137.660644,145.0,13768.3621,-2179.762912,2023,1,1
2023-01-02,3.0,1.0,2173.487068,165.0,14633.84596,3491.79317,2023,1,2
2023-01-03,4.0,0.0,2079.65993,178.0,15248.73655,870.4830372,2023,1,3
2023-01-04,5.0,5.0,2131.987158,191.0,13849.28106,1336.142822,2023,1,4
2023-01-05,4.0,6.0,1596.982843,178.0,8728.530942,301.0457253,2023,1,5
2023-01-06,1.0,2.0,1270.29855,184.0,8657.841014,62.48719214,2023,1,6
2023-01-07,3.0,4.0,1833.86772,202.0,13085.3597,2170.125291,2023,1,7
